id,experiential_learning,prosocial_index,social_awareness,age,gpa,income,community_connections,employed_nonprofit
1083,0,79,66,22,2.74,26500,1,0
1084,0,85,73,22,3.07,47900,4,1
1085,0,72,66,27,2.91,56100,0,0
1086,0,91,76,23,3.69,39800,3,1
1087,1,100,85,26,3.7,69100,2,1
1088,1,100,86,22,2.32,40300,10,1
1089,1,93,49,23,3.94,41200,6,1
1090,0,57,45,27,3.53,25300,2,0
1091,0,80,66,27,2.6,30500,4,0
1092,1,100,82,25,3.13,62700,7,1
1093,0,98,83,33,2.74,32900,4,1
1094,1,99,81,26,2.47,43000,6,1
1095,1,100,86,22,3.44,49900,6,1
1096,1,100,76,26,2.62,45000,11,1
1097,0,73,46,23,2.92,49000,6,0
1098,0,90,92,25,3.13,33100,4,0
1099,0,81,60,28,4,47100,5,0
1100,0,71,44,26,3.24,18000,2,0
1101,0,89,99,24,3.24,22500,2,1
1102,1,100,89,25,3.14,51200,3,1
1103,1,100,79,29,2.34,30800,5,1
1104,1,100,84,25,2.97,44900,8,1
1105,0,98,77,25,4,43600,3,1
1106,0,88,51,23,3.72,41500,7,1
1107,0,98,87,28,3.19,30700,7,1
1108,1,88,77,26,3.42,15000,5,0
1109,1,100,81,30,2.55,45300,6,1
1110,0,96,96,25,3.25,30800,4,0
1111,1,100,77,24,3.87,33400,5,1
1112,1,100,88,27,3.49,38300,8,1
1113,1,91,72,21,2.51,43100,6,0
1114,1,96,63,27,3.83,56200,3,1
1115,0,100,77,27,3.68,34300,4,0
1116,0,82,73,25,2.79,18800,1,0
1117,0,68,43,29,3.3,38900,2,0
1118,0,86,71,26,3.73,34900,4,0
1119,0,79,57,25,3.58,38400,5,0
1120,1,100,87,27,3.36,30400,7,1
1121,0,81,53,25,3.58,44100,2,0
1122,0,86,56,21,3.2,42400,4,0
1123,0,84,72,26,3.75,68500,0,0
1124,0,100,78,26,3.08,68400,3,1
1125,1,100,88,28,3.96,47800,9,1
1126,0,100,82,20,3.52,57100,4,1
1127,1,94,84,26,3.6,33200,5,1
1128,1,89,82,29,2.89,33200,1,1
1129,0,84,59,24,3.69,48200,2,0
1130,1,100,89,22,3.47,67100,5,1
1131,1,100,72,21,3.78,40100,5,1
1132,1,84,64,23,3.44,17000,4,0
1133,1,100,87,24,3.44,31300,9,1
1134,0,67,48,25,2.64,26200,1,0
1135,0,75,38,27,3.01,15000,4,0
1136,1,100,63,25,3.3,35200,5,1
1137,0,85,74,26,2.5,24800,4,0
1138,0,86,70,25,3.61,54400,3,1
1139,0,81,76,26,3.71,21800,6,0
1140,1,100,85,26,3.3,29700,7,1
1141,1,100,66,24,3.54,57000,11,1
1142,1,98,61,26,3.14,65000,7,1
1143,1,100,85,26,3.16,44600,8,1
1144,1,100,81,26,3.25,54400,7,1
1145,1,100,86,28,3.2,40700,6,1
1146,1,100,64,28,3.41,61600,5,1
1147,0,68,62,21,2.87,15000,5,0
1148,1,96,58,26,3.72,63200,3,1
1149,0,75,65,28,3.81,24800,1,0
1150,1,83,50,24,3.13,39800,4,0
1151,0,89,60,27,2.68,45300,1,0
1152,0,79,59,25,3.91,45900,3,0
1153,0,75,79,23,2.88,21500,2,0
1154,1,100,89,24,3.17,32400,9,1
1155,0,76,72,29,4,18400,5,0
1156,0,87,64,27,4,43000,2,0
1157,0,82,76,24,3.75,25300,3,0
1158,0,96,92,28,3.44,36000,3,1
1159,0,93,72,25,3.87,54200,6,0
1160,0,81,85,24,2.85,15000,3,0
1161,0,84,53,26,4,31300,5,0
1162,0,77,67,25,2.67,37300,3,0
1163,1,92,78,23,3.13,50300,2,0
1164,1,100,91,25,3.38,36600,7,1
1165,0,73,46,26,3.4,32700,5,0
1166,1,98,75,25,3.47,51700,5,1
1167,0,95,79,25,2.7,15000,3,1
1168,1,100,65,26,2.27,59900,6,1
1169,1,100,88,28,4,35800,12,1
1170,1,100,81,21,3.08,39700,5,1
1171,0,88,88,26,2.67,23500,2,1
1172,1,100,79,23,2.17,47200,6,1
1173,0,95,74,25,2.96,42500,2,1
1174,1,82,54,23,2.81,52000,4,1
1175,1,100,79,21,4,39200,6,1
1176,0,78,81,26,3.16,36500,1,0
1177,1,100,63,26,3.28,57500,1,1
1178,0,92,76,22,2.87,54500,3,1
1179,1,98,80,32,3.4,34900,4,1
1180,1,93,64,20,3.19,47200,4,1
1181,0,73,69,21,3.68,37000,1,0
1182,0,72,61,26,2,28100,1,0
1183,1,100,70,24,3.18,51700,8,1
1184,1,100,88,25,2.48,48800,3,1
1185,0,80,55,27,2.7,15000,5,0
1186,1,93,59,28,3.38,42800,3,0
1187,0,91,79,23,3.91,17700,1,0
1188,0,91,72,25,3.77,37700,2,0
1189,0,90,86,30,4,39700,2,0
1190,1,100,78,26,3.86,41600,6,1
1191,0,88,75,27,2.9,31300,5,0
1192,0,74,47,24,3.5,57600,4,0
1193,0,69,48,23,3.39,24400,3,0
1194,0,92,81,23,3.24,54600,4,0
1195,0,68,42,26,2.2,42100,1,0
1196,1,90,82,27,3.75,22800,6,0
1197,0,67,36,22,2,45300,5,0
1198,1,100,68,24,2.88,60500,10,1
1199,0,89,77,27,2.53,47200,1,0
1200,1,100,70,26,2.71,53100,11,1
1201,1,100,62,25,3.55,42600,9,1
1202,0,82,70,27,3.69,34200,0,0
1203,0,90,71,27,3.79,57700,1,1
1204,0,82,53,25,3.18,48300,4,0
1205,0,68,53,25,3.31,44200,1,0
1206,0,85,69,25,2.94,44100,5,0
1207,1,100,72,29,3.63,29100,5,1
1208,1,100,86,26,2.44,36500,7,1
1209,1,92,69,24,4,47800,3,1
1210,1,98,59,24,3.69,60200,6,1
1211,0,83,64,23,3.88,50100,2,0
1212,1,100,71,24,3.9,27300,6,1
1213,0,76,50,28,3.64,28300,1,0
1214,0,69,42,23,3.16,28700,3,0
1215,1,100,82,27,3.5,58000,4,1
1216,1,100,70,24,3.87,55800,4,1
1217,1,100,68,16,3.59,56900,7,1
1218,0,94,68,30,4,23500,3,0
1219,0,72,61,26,3.17,35900,1,0
1220,0,66,46,27,3.08,15000,2,0
1221,0,88,74,23,3.27,44500,3,0
1222,1,100,67,25,2.72,66700,10,1
1223,1,88,67,27,4,49800,1,1
1224,0,83,49,24,4,34500,4,0
1225,1,92,58,27,3.14,40600,2,1
1226,1,100,85,24,2.29,59700,4,1
1227,0,99,88,21,3.71,60900,5,1
1228,0,68,44,20,3.94,31100,5,0
1229,0,71,68,25,3.53,19900,4,0
1230,1,100,81,24,4,60800,4,1
1231,0,70,40,28,3.04,34700,2,0
1232,0,80,84,23,2.12,28000,3,0
1233,1,84,56,25,3.87,42200,2,0
1234,1,100,77,23,2.88,44900,11,1
1235,1,96,82,24,3.06,47100,5,1
1236,1,100,78,21,4,28000,4,1
1237,0,100,79,26,3.51,53000,9,1
1238,0,95,73,20,2,42200,7,1
1239,0,65,66,24,2.59,35300,3,0
1240,1,100,57,29,3.98,68300,10,1
1241,0,89,83,26,2.57,20100,4,0
1242,0,88,64,25,3.62,43800,3,1
1243,0,77,71,28,2.63,39700,2,0
1244,1,100,84,28,3.8,58800,7,1
1245,0,93,68,25,3.99,34400,4,0
1246,0,88,79,22,2.7,17500,7,0
1247,0,55,20,27,2.9,15000,2,0
1248,0,74,47,24,2.47,36800,1,0
1249,1,100,81,22,3.54,53600,9,1
1250,1,97,76,21,3.97,36800,5,1
1251,1,98,74,25,3.77,35800,7,1
1252,1,100,61,24,3.52,58000,4,1
1253,0,78,76,22,4,15000,0,0
1254,1,100,77,23,3.27,43800,7,1
1255,1,100,62,25,4,38900,7,1
1256,0,72,60,24,3.47,18600,3,0
1257,1,91,65,24,3.78,48700,0,1
1258,0,90,69,26,3.42,39400,3,0
1259,0,80,64,27,4,25500,3,0
1260,1,100,88,27,3.83,63200,2,1
1261,0,71,65,28,2.73,32500,1,0
1262,1,100,96,23,2.47,33100,2,1
1263,0,90,76,23,4,21200,2,0
1264,1,73,47,17,3.13,46800,5,0
1265,1,87,39,26,3.65,35800,5,0
1266,1,100,78,27,2.86,43100,6,1
1267,1,93,82,25,2,30000,5,1
1268,0,74,59,25,3.02,19300,4,0
1269,0,85,73,23,2.57,39300,1,0
1270,0,82,77,22,2.28,50500,2,0
1271,1,98,70,22,2.66,61100,4,1
1272,0,77,52,21,3.03,48000,4,0
1273,0,86,46,23,3.81,47900,2,0
1274,0,86,84,25,3.06,38500,1,0
1275,0,86,50,25,3.85,66800,2,0
1276,1,95,77,22,3.59,49300,7,1
1277,0,100,84,25,3.67,51000,4,1
1278,0,78,81,23,3.43,23100,1,0
1279,0,75,44,24,3.22,29000,3,0
1280,0,72,47,26,3.57,20900,2,0
1281,0,85,84,25,2.82,15900,4,1
1282,0,99,63,30,3.73,58100,4,1
1283,1,92,51,28,3.65,15000,6,0
1284,1,100,89,25,3.49,37300,5,1
1285,1,92,65,25,3.89,42800,6,1
1286,1,77,55,25,3.63,28100,3,0
1287,1,100,89,23,2.92,40200,9,1
1288,0,90,77,24,3.86,44700,5,1
1289,0,81,53,24,3.68,47900,3,0
1290,1,100,84,27,3.25,49100,6,1
1291,1,95,78,26,2.27,58600,5,1
1292,0,79,76,30,2.59,23800,3,0
1293,0,75,78,28,2.93,40900,3,0
1294,0,78,66,24,2.77,49700,4,0
1295,1,100,92,23,3.77,26600,8,1
1296,0,96,74,26,3.18,42000,7,0
1297,0,92,68,27,2.63,47800,2,0
1298,0,88,75,24,3.72,31700,3,1
1299,1,94,58,23,3.75,57000,3,0
1300,0,67,59,23,2.19,56200,3,0
1301,0,86,79,27,2.85,21300,4,0
1302,1,93,57,25,4,71200,1,1
1303,0,97,83,24,3.35,47200,4,1
1304,0,81,59,22,4,33000,7,0
1305,0,87,51,28,3.09,34300,5,0
1306,1,99,71,24,2.65,62700,0,1
1307,0,77,69,26,3.12,21400,1,0
1308,1,100,83,27,3.68,32900,7,1
1309,0,86,76,28,2.21,23300,2,0
1310,1,98,63,21,3.48,51700,7,1
1311,1,100,90,19,3.33,39200,10,1
1312,1,87,70,27,3.51,29400,5,0
1313,0,77,67,26,3.21,38100,2,0
1314,0,91,73,21,3.13,37200,4,1
1315,1,100,64,28,3.86,51200,6,1
1316,0,81,82,18,3.18,22200,3,0
1317,0,58,39,21,3.44,19300,3,0
1318,0,71,69,20,2.85,16500,7,0
1319,0,70,63,23,3.53,15600,2,0
1320,1,100,64,27,2.98,64000,3,1
1321,0,86,58,27,3.29,36600,4,1
1322,0,87,71,28,2.23,34000,7,0
1323,0,93,68,24,2.97,57100,7,0
1324,1,100,90,24,2.65,59800,8,1
1325,0,80,63,26,2.52,40100,2,0
1326,0,87,91,24,3.19,44300,1,1
1327,1,99,68,20,3.88,54700,4,1
1328,0,78,48,23,2.88,43500,1,0
1329,0,85,77,19,3.01,28800,3,0
1330,1,100,88,22,2.72,62500,7,1
1331,1,100,84,25,4,42000,4,1
1332,0,79,62,31,3.34,52900,3,0
1333,1,100,59,24,3.66,49300,7,1
1334,0,88,83,25,3.47,61800,6,0
1335,0,81,61,28,3.51,57200,2,0
1336,1,100,58,29,3.68,27100,6,1
1337,0,82,60,24,4,39600,6,0
1338,1,97,64,26,3.03,54100,7,0
1339,1,100,83,25,3.02,40700,10,1
1340,0,85,75,22,3.77,35300,2,0
1341,1,90,81,27,3.3,32600,2,1
1342,1,100,83,26,2.61,41600,4,1
1343,0,76,84,25,2,31100,2,0
1344,0,100,83,26,3.14,27000,2,1
1345,0,92,67,23,2.84,39800,7,1
1346,1,100,89,30,2.75,44400,7,1
1347,0,81,49,24,2.61,46400,5,0
1348,1,100,92,23,3.56,80200,9,1
1349,1,100,77,24,4,46400,6,1
1350,0,67,50,23,2.4,34800,2,0
1351,0,86,51,25,3.44,47400,2,0
1352,0,71,69,25,2,23300,2,0
1353,0,72,32,28,2.99,46400,3,0
1354,0,89,81,24,2.85,64800,3,1
1355,1,100,79,30,3.3,45100,5,1
1356,0,80,48,28,3.19,35300,4,0
1357,0,100,89,29,3.56,44800,2,1
1358,0,81,65,21,2.77,28400,4,0
1359,0,87,65,23,3.03,37800,6,0
1360,0,93,76,25,2.97,45200,4,0
1361,0,92,88,24,3.69,54500,1,1
1362,0,88,67,26,3.55,31900,3,1
1363,1,100,86,25,2.85,42700,4,1
1364,1,88,56,25,3.77,35900,4,1
1365,1,100,83,25,2.8,53500,6,1
1366,1,99,57,26,3.22,64600,10,1
1367,1,88,58,25,3.25,57500,8,1
1368,1,93,62,25,3.87,44800,5,0
1369,0,100,92,25,3.08,39300,9,1
1370,1,100,77,27,3.75,47100,7,1
1371,1,100,78,27,3.3,57200,7,1
1372,0,82,78,26,3.02,26900,2,0
1373,0,76,40,24,3.18,47000,3,0
1374,1,90,79,27,3.8,48100,2,1
1375,0,91,82,30,3.78,38700,3,1
1376,0,86,84,27,2.67,52700,5,0
1377,1,95,82,26,3.69,42000,4,0
1378,1,92,74,26,4,40700,7,0
1379,0,85,76,21,3.51,44700,6,1
1380,0,75,67,25,2.3,43500,3,0
1381,1,97,77,25,2.52,47000,4,1
1382,0,95,61,23,3.52,40200,5,1
1383,1,100,67,27,2.95,39700,10,1
1384,0,91,76,25,3.67,23700,8,1
1385,0,72,52,30,2.53,32200,1,0
1386,0,93,77,25,2.04,53300,1,1
1387,1,100,70,21,3.78,41800,5,1
1388,0,84,79,22,3.29,40400,3,0
1389,0,79,83,25,3.61,15000,4,0
1390,0,87,66,27,3.12,45400,3,0
1391,0,94,76,22,3.41,60800,2,0
1392,0,77,55,28,2.78,44100,3,0
1393,0,90,64,31,3.69,55700,4,1
1394,0,69,60,29,2.81,36500,3,0
1395,0,84,50,30,3.71,34200,8,0
1396,0,99,85,26,4,60000,5,1
1397,0,75,82,22,2.94,40900,1,0
1398,1,100,78,25,3.33,65300,4,1
1399,0,71,42,25,2.63,45000,4,0
1400,0,85,91,22,2.09,37700,2,0
1401,1,100,80,29,2.93,27900,8,1
1402,1,78,61,20,2.5,20000,5,0
1403,0,81,69,24,3.06,65800,1,0
1404,1,95,37,25,3.41,51800,8,1
1405,0,81,62,27,2.78,33900,2,0
1406,0,85,48,24,3.81,47000,6,0
1407,0,81,49,29,3.72,47300,6,0
1408,0,76,76,27,3.05,24700,1,0
1409,0,74,66,23,3.92,27500,0,0
1410,0,68,60,27,2.79,46500,2,0
1411,1,91,82,25,3.62,24600,4,0
1412,1,100,86,28,2.4,37000,7,1
1413,0,92,57,24,3.72,66300,4,0
1414,1,100,57,26,3.24,53500,2,1
1415,0,90,73,26,3.92,22600,2,0
1416,1,100,61,27,3.48,44600,4,1
1417,1,85,48,28,2.81,35900,6,0
1418,0,73,57,26,2.85,46500,1,0
1419,1,100,69,28,3.86,41200,7,1
1420,0,82,78,24,3.44,27600,6,0
1421,0,95,71,25,3.1,75400,8,1
1422,0,96,83,23,2.54,57200,6,1
1423,0,71,73,24,3.11,15000,4,0
1424,0,93,88,23,3.79,29100,3,0
1425,1,100,96,27,3.11,29700,5,1
1426,0,80,74,21,3.1,32900,2,0
1427,0,78,72,23,3.49,45900,1,0
1428,1,94,73,28,3.53,43000,9,1
1429,1,100,76,23,3.08,68900,5,1
1430,1,100,52,30,3.07,57400,6,1
1431,0,76,54,30,3.35,39600,0,0
1432,0,62,27,26,2.37,29400,3,0
1433,0,84,44,28,3.48,27500,4,0
1434,1,100,83,29,3.09,44100,4,1
1435,1,98,89,22,3.23,55000,3,1
1436,0,96,80,25,2.09,20200,3,1
1437,1,100,80,24,3.73,31300,8,1
1438,0,88,62,24,3.37,47500,5,0
1439,0,72,64,27,3.22,16300,3,0
1440,0,93,79,28,3.7,40600,3,0
1441,0,77,59,21,2.98,21300,1,0
1442,1,90,70,22,3.3,50700,5,0
1443,0,71,64,26,3.47,38900,2,0
1444,0,100,84,27,3.23,46300,3,1
1445,1,91,72,24,3.21,52900,4,0
1446,0,77,69,30,3.29,18200,3,0
1447,0,66,39,25,2.74,53300,3,0
1448,1,86,59,26,2.78,58200,4,0
1449,0,83,74,25,3.3,33700,2,0
1450,0,84,56,23,3.52,62300,3,0
1451,1,97,78,27,3.7,15000,4,1
1452,1,100,67,24,3.06,40200,10,1
1453,0,69,74,22,2.8,15000,2,0
1454,1,80,51,24,2.55,40100,4,0
1455,1,100,80,30,3.5,35000,2,1
1456,1,100,82,22,3.32,57100,2,1
1457,1,100,53,31,3.38,57200,7,1
1458,0,78,35,24,3.7,56400,2,0
1459,1,100,76,28,4,36900,6,1
1460,1,89,68,26,3.49,15000,11,1
1461,0,76,83,27,2.95,33200,1,0
1462,1,97,71,24,2.92,68900,6,1
1463,1,100,84,24,3.74,64900,6,1
1464,0,83,82,22,2.55,37300,2,0
1465,1,92,63,27,3.58,33700,4,0
1466,0,70,55,22,2.27,28400,5,0
1467,1,100,71,25,3.45,51600,6,1
1468,1,98,82,24,2.93,46000,2,1
1469,1,79,57,21,2.9,15000,3,0
1470,1,93,72,20,3.75,24900,7,1
1471,0,89,71,28,4,31400,1,0
1472,1,98,77,21,3.44,42500,6,1
1473,0,86,58,23,3.51,59800,3,0
1474,0,77,52,24,2.78,51300,2,0
1475,0,79,80,25,2.94,15000,3,0
1476,0,84,79,25,3.23,23200,3,0
1477,0,90,96,26,2.88,27600,3,0
1478,1,98,69,31,3.43,26100,5,1
1479,1,100,75,23,3.64,32800,7,1
1480,1,100,90,24,3.14,32700,7,1
1481,0,86,65,19,3.38,48700,1,1
1482,0,87,66,29,2.6,40100,3,0
1483,0,100,70,27,2.65,46900,2,1
1484,1,99,83,25,2.87,45400,5,1
1485,0,93,64,23,4,47100,6,1
1486,0,87,88,26,3.83,37600,3,1
1487,0,85,86,26,2.86,22000,3,0
1488,1,100,80,25,3.51,64400,2,1
1489,0,77,69,25,3.75,39500,1,0
1490,1,100,84,25,4,22300,2,1
1491,1,100,95,25,2.94,38300,2,1
1492,0,96,75,26,2.27,45600,2,1
1493,0,82,81,25,2.73,22800,0,0
1494,0,88,71,22,2.15,54300,3,0
1495,0,89,62,26,3.69,34500,2,0
1496,1,96,73,27,3.3,37100,8,1
1497,1,100,91,28,3.66,26500,8,1
1498,1,95,50,27,3.29,56800,6,1
1499,0,88,58,26,2.91,31600,3,0
1500,0,89,88,28,3.31,30200,3,0
1501,0,62,42,21,3.83,15000,2,0
1502,0,71,66,26,2.46,37200,1,0
1503,1,100,67,30,2.95,17900,8,1
1504,0,86,46,29,2.72,52500,5,1
1505,1,98,70,20,3.09,17500,8,1
1506,0,72,49,25,3.89,38200,1,0
1507,1,83,52,29,3.63,32400,5,0
1508,1,100,78,28,3.63,28700,6,1
1509,1,100,93,27,3.68,38200,4,1
1510,0,80,70,22,3.2,22500,1,1
1511,1,100,74,25,3.07,38400,6,1
1512,0,82,72,23,3.54,26800,3,0
1513,1,91,72,27,4,44900,3,0
1514,0,74,74,28,2.5,29800,0,0
1515,1,96,87,26,3.49,45700,3,1
1516,0,81,66,28,2.92,38900,3,0
1517,0,81,80,24,2.78,24600,3,0
1518,1,95,53,26,3.56,52200,10,1
1519,0,91,67,26,2.3,59300,3,1
1520,1,100,97,24,3.88,29000,4,1
1521,1,99,88,27,4,33900,2,1
1522,0,90,88,26,3.44,32700,2,1
1523,0,65,52,22,3.38,30700,1,0
1524,0,85,65,23,3.56,45800,6,0
1525,1,100,77,28,3.65,75800,4,1
1526,0,88,71,26,2.88,47800,4,0
1527,0,95,84,27,2.68,15000,5,1
1528,1,100,86,20,3.54,44100,11,1
1529,1,100,72,29,3.72,63600,7,1
1530,1,100,98,26,3.69,58200,4,1
1531,0,77,77,24,2.95,47500,1,0
1532,0,57,62,29,2.84,15000,0,0
1533,0,92,75,27,4,25300,4,0
1534,0,92,88,26,3.93,23100,2,1
1535,1,87,75,21,3.7,22700,5,0
1536,0,77,56,26,2.62,51900,4,0
1537,1,94,77,25,2.46,54600,4,0
1538,0,100,85,25,3.15,69900,5,1
1539,1,99,68,25,2.9,59800,4,1
1540,1,93,69,25,2.75,54600,5,1
1541,0,100,76,27,2.48,74300,0,1
1542,1,86,70,27,2.89,15000,6,1
1543,0,82,70,26,2.7,15000,4,0
1544,0,93,88,26,3.18,24900,4,1
1545,1,100,94,23,2.67,32700,16,1
1546,0,77,54,24,2.47,39400,4,0
1547,1,96,85,26,3.36,25400,1,1
1548,0,74,62,24,2.61,55800,0,0
1549,1,100,75,26,3.19,54100,5,1
1550,0,78,70,24,2.84,15100,2,0
1551,0,75,58,25,2,17900,5,0
1552,1,91,67,29,3,30100,5,1
1553,1,100,86,28,3.65,50500,9,1
1554,0,93,69,25,4,37500,3,1
1555,0,81,63,23,2.9,44300,5,0
1556,0,76,71,26,2.79,23800,3,0
1557,0,73,58,24,3.1,25900,5,1
1558,0,71,54,24,3.56,15000,3,0
1559,0,84,65,26,2.86,15000,6,1
1560,0,97,72,30,3.47,38900,5,0
1561,0,80,78,22,2.72,51800,0,0
1562,0,91,69,23,3.35,57500,6,1
1563,1,100,80,29,2.77,59400,10,1
1564,0,86,79,25,3.73,24600,3,0
1565,1,93,76,26,2.39,39800,3,1
1566,1,95,62,25,3.94,44300,5,0
1567,0,73,52,23,4,24900,3,0
1568,0,71,51,24,3.27,63700,0,0
1569,1,91,32,30,3.28,27200,4,1
1570,0,87,71,30,3.66,24100,4,0
1571,1,91,74,25,2.47,32600,8,1
1572,0,93,69,25,4,42400,3,0
1573,1,100,82,27,2.7,49300,9,1
1574,0,87,62,27,3.15,38800,5,0
1575,0,87,70,20,3.13,34100,6,0
1576,1,100,56,23,4,37900,3,1
1577,1,100,95,26,2.69,36600,6,1
1578,1,94,58,25,3.43,55100,3,1
1579,1,100,83,23,3.94,75900,9,1
1580,0,89,84,20,2.87,38000,4,0
1581,1,84,47,25,3.12,21200,5,0
1582,0,92,81,25,2.66,40500,1,0
1583,0,85,61,23,3.4,39800,6,0
1584,0,95,60,24,3.06,32800,3,1
1585,0,83,77,27,3.45,31500,3,0
1586,0,81,57,21,3.86,16400,3,0
1587,1,100,89,25,3.18,36500,5,1
1588,1,100,93,29,3.11,38200,7,1
1589,1,100,90,23,3.14,37100,4,1
1590,1,86,69,25,2.65,45100,1,0
1591,1,100,72,24,3.97,34600,3,1
1592,0,81,72,21,3.29,36300,2,0
1593,0,80,57,23,3.41,52900,2,0
1594,1,98,84,28,3.4,32700,7,1
1595,0,75,68,21,2.85,34600,3,0
1596,0,80,68,23,3.36,26200,3,0
1597,0,96,88,30,3.9,40500,2,1
1598,1,77,57,27,4,32500,2,0
1599,1,99,80,28,3.58,41400,5,1
1600,0,85,57,25,3.79,45200,3,0
1601,0,66,78,25,3.1,23600,1,0
1602,0,93,76,25,3.65,30100,6,0
1603,0,87,75,25,3.35,20300,0,0
1604,1,100,86,24,2.77,65300,7,1
1605,0,64,41,23,2.5,42300,0,0
1606,0,67,50,24,2.53,41300,7,0
1607,0,94,79,25,2.66,44500,4,1
1608,0,92,73,31,4,20700,3,1
1609,1,90,67,22,3.13,37700,5,0
1610,1,97,60,29,2.58,25700,5,1
1611,0,83,83,22,3.6,17400,5,0
1612,1,100,60,27,3.04,51900,5,1
1613,0,86,62,30,3.03,33000,3,0
1614,0,93,90,26,2.2,45700,1,1
1615,0,67,51,27,2.12,34600,1,0
1616,1,100,87,28,2.95,15400,3,1
1617,0,85,58,26,2,63000,5,0
1618,0,75,54,26,3.31,44400,2,0
1619,0,81,75,19,2.78,35600,0,0
1620,1,100,59,30,4,59200,3,1
1621,1,96,89,23,2.92,30700,4,1
1622,0,77,50,22,3.4,32000,2,0
1623,0,94,86,25,3.7,20600,1,0
1624,0,85,87,23,2.78,51000,0,0
1625,1,100,79,26,3.42,67100,2,1
1626,0,76,48,24,2,57400,7,0
1627,1,100,90,30,3.63,21600,9,1
1628,0,74,56,22,3.16,32600,1,0
1629,1,100,85,24,3.1,68300,6,1
1630,0,89,67,29,3.31,22000,1,1
1631,0,89,87,26,3.84,25300,4,0
1632,0,79,87,22,2.68,26400,3,0
1633,0,94,93,28,2.9,36600,2,1
1634,1,100,79,28,2.85,51600,6,1
1635,1,90,73,25,4,34400,7,0
1636,1,100,78,27,3.17,70500,7,0
1637,1,100,78,24,2.04,50300,5,1
