Rearch_No,Database,Date,Condition_replicable,Condition_short,time_range,Result_number,Voluntas_count,NVSQ_count,NML_count,PAR_count,JPART_count,JPAM_count,PMR_count,Bibfile_name,Query link,Note
52,ProQuest,1/14/2023,"(""instrumental variable"" OR ""instrument variable"" OR ""2SLS"" OR ""two stage least square""  OR ""3SLS"" OR ""three stage least square"" OR ""regression discontinuity"" OR ""RDD"" OR ""RD Design"") AND AND (publication(VOLUNTAS) OR publication(nonprofit and voluntary sector quarterly) OR publication(Nonprofit Management and Leadership))",NPO3+RDD+IV,2010-2022,21,,,,,,,,,,
,Merged ,1/14/2023,,NPO3+RDD+IV,2010-2022,23,,,,,,,,,"[Zotero] sub collection ""230114_NPO3_RDD+IV""",
53,ProQuest,1/14/2023,"(""diff-in-diff"" OR ""difference in difference"" OR ""two-way fixed effects"" OR ""TWFE"" OR ""Fixed effects"" OR ""Event Study"" OR ""synthetic control"") AND (publication(VOLUNTAS) OR publication(nonprofit ""and"" voluntary sector quarterly) OR publication(Nonprofit Management ""and"" Leadership))",NPO3+DiD,2010-2022,57,,,,,,,,,,
54,Web of Science,1/14/2023,"(ALL=(""diff-in-diff"" OR ""difference in difference"" OR ""two-way fixed effects"" OR ""TWFE"" OR ""Fixed effects"" OR ""Event Study"" OR ""synthetic control"")) AND SO=(VOLUNTAS OR nonprofit ""AND"" voluntary sector quarterly OR Nonprofit Management ""and"" Leadership)",NPO3+DiD,2010-2022,16,,,,,,,,,https://www.webofscience.com/wos/woscc/summary/b15b76d3-1d75-4930-8043-fecfb03c3938-6aa1db97/relevance/1,
,Merged ,1/14/2023,,NPO3+DiD,2010-2022,57,,,,,,,,,"[Zotero] sub collection ""230114_NPO3_DiD_fixed_effect""",
55,ProQuest,1/15/2023,"(""quasi-experiment"" OR ""natrual experiment"") AND (publication(VOLUNTAS) OR publication(nonprofit ""and"" voluntary sector quarterly) OR publication(Nonprofit Management ""and"" Leadership))",NPO3+quasi-experiment,2010-2022,14,,,,,,,,,https://www.webofscience.com/wos/woscc/summary/da9c242f-a233-437b-83bb-074a8288102f-6acc3eaa/relevance/1,
56,Web of Science,1/15/2023,"ALL=(""quasi-experiment"" OR ""natural experiment"") AND SO=(VOLUNTAS OR nonprofit ""AND"" voluntary sector quarterly OR Nonprofit Management ""and"" Leadership)",NPO3+quasi-experiment,2010-2022,1,,,,,,,,,,
,Merged ,1/15/2023,,NPO3+quasi-experiment,2010-2022,13,,,,,,,,,[Zotero] sub collection,
57,ProQuest,1/16/2023,,NPO3+DAG,2010-2022,21,,,,,,,,,,
58,Web of Science,1/16/2023,"(""directed acyclic graph"" OR ""DAG"" OR ""credibility revolution"" OR ""Inverse probability weighting"" OR ""IPW"" OR ""propensity score"" OR ""Marginal Structural model"") AND (publication(VOLUNTAS) OR publication(nonprofit ""and"" voluntary sector quarterly) OR publication(Nonprofit Management ""and"" Leadership))",NPO3+DAG,2010-2022,8,,,,,,,,,https://www.webofscience.com/wos/woscc/summary/85ae341b-b803-4ac4-9e43-63aa25adb066-6accf955/relevance/1,
,Merged ,1/16/2023,,NPO3+DAG,2010-2022,19,,,,,,,,,,
59,ProQuest,1/16/2023,"(""Structural Equation Model"") AND (publication(VOLUNTAS) OR publication(nonprofit ""and"" voluntary sector quarterly) OR publication(Nonprofit Management ""and"" Leadership))",NPO3+SEM,2010-2022,24,,,,,,,,,,
60,Web of Science,1/16/2023,"ALL=(""Structural Equation Modeling"") AND SO=(VOLUNTAS OR nonprofit ""AND"" voluntary sector quarterly OR Nonprofit Management ""and"" Leadership)",NPO3+SEM,2010-2022,26,,,,,,,,,https://www.webofscience.com/wos/woscc/summary/b3bf4235-9d40-4abf-87f0-24bd7c795654-6acd7d87/relevance/1,
,Merged ,1/16/2023,,NPO3+SEM,2010-2022,39,,,,,,,,,[Zotero] sub collection,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
*Notes*,Number after merging means discounting overlaps  minus duplicates,,,,,,,,,,,,,,,
,WOS = web of science,,,,,,,,,,,,,,,
,"npo 3 = Voluntas, NVSQ, NML",,,,,,,,,,,,,,,
,"pa 4 = PAR, JPART, JPAM, PMR",,,,,,,,,,,,,,,
